ID,Name,Original_Name,Melakarta_No,Melakarta_Name,Chakra_No,Chakra_Name,Arohana,Avarohana,Scale_Type,Is_Bhashanga,Anya_Swaras,Is_Vakra,Extra_Note
"kanakambari","Kanakambari","Kanakāmbari",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' N1 D1 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,""
"kanakatodi","Kanakatodi","Kanakatodi",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' N1 D1 P M1 R1 S","Shadava",No,"",Yes,""
"madhavapriya","Madhavapriya","Mādhavapriyā",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 P D1 N1 S'","S' N1 D1 P G1 R1 S","Shadava",No,"",Yes,""
"karnataka-shuddha-saveri","Karnataka Shuddha Saveri","Karnātaka Shuddha Sāveri",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 S","Audava",No,"",Yes,""
"latantapriya","Latantapriya","Latantapriya",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' D1 P M1 R1 S","Shadava-Audava",No,"",Yes,""
"lavangi","Lavangi","Lavangi",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 D1 S'","S' D1 M1 R1 S","Swarantara",No,"",Yes,"Raga created by M. Balamuralikrishna"
"megha","Megha","Megha",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 N1 D1 P S'","S' N1 D1 P M1 R1 S","Shadava",No,"",Yes,""
"rishabhavilasa","Rishabhavilasa","Rishabhavilāsa",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 M1 R1 S","Audava",No,"",Yes,""
"sarvashree","Sarvashree","Sarvashree",1,"Kanakangi",1,"Indu (Moon)","S M1 P S'","S' P M1 S","Swarantara",No,"",Yes,""
"suddha-mukhari","Suddha Mukhari","Suddha Mukhāri",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' N1 D1 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,""
"tatillatika","Tatillatika","Tatillatika",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 S","Audava",No,"",Yes,""
"vageeshwari","Vageeshwari","Vāgeeshwari",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' D1 M1 P G1 R1 S","Shadava",No,"",Yes,""
"phenadhyuti","Phenadhyuti","Phenadhyuti",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P D1 P N2 S'","S' N2 D1 P M1 G1 R1 S","Shadava-Sampurna",No,"",Yes,""
