Song,Movie,Year,Raga,Musician,Lyricist,Singers,Song_ID,Movie_ID,Song_URL,Movie_URL
Nakshathra Deepangal,Nirakudam,1977,Aabhogi,Jaya Vijaya,Bichu Thirumala,KJ Yesudas,4293,842,https://en.msidb.org/s.php?4293,https://en.msidb.org/m.php?842
Sapthaswarangalaadum,Sankhupushpam,1977,Aabhogi,MK Arjunan,Sreekumaran Thampi,Vani Jairam,4184,1965,https://en.msidb.org/s.php?4184,https://en.msidb.org/m.php?1965
Shudha Madhalathin,Priyadarshini,1978,Aabhogi,MK Arjunan,Vayalar Ramavarma,"Latha Raju, Malathi",4603,25,https://en.msidb.org/s.php?4603,https://en.msidb.org/m.php?25
Vaasanthadevatha,Adhikaaram,1980,Aabhogi,AT Ummer,Sathyan Anthikkad,Vani Jairam,5574,2796,https://en.msidb.org/s.php?5574,https://en.msidb.org/m.php?2796
Devimayam Sarvam Devimayam,Sreedevi Darsanam,1980,Aabhogi,G Devarajan,P Bhaskaran,KJ Yesudas,15133,5362,https://en.msidb.org/s.php?15133,https://en.msidb.org/m.php?5362
Maanasa,Gaanam,1982,Aabhogi,V Dakshinamoorthy,Traditional (Thyagaraja),S Janaki,6185,1710,https://en.msidb.org/s.php?6185,https://en.msidb.org/m.php?1710
Thozhukai,Boeing Boeing,1985,Aabhogi,Raghu Kumar,Mankombu Gopalakrishnan,KJ Yesudas,6768,679,https://en.msidb.org/s.php?6768,https://en.msidb.org/m.php?679
Goureeshankarasringam,Mayoori,1985,Aabhogi,SP Balasubrahmanyam,Mankombu Gopalakrishnan,"Vani Jairam, Chorus",14715,3501,https://en.msidb.org/s.php?14715,https://en.msidb.org/m.php?3501
Ardhanaareeshwara,Mulamoottil Adima,1985,Aabhogi,MK Arjunan,Devadas,Vani Jairam,6674,1152,https://en.msidb.org/s.php?6674,https://en.msidb.org/m.php?1152
Thedithedi Ananju,Idanaazhiyil Oru Kaalocha,1987,Aabhogi,V Dakshinamoorthy,ONV Kurup,KJ Yesudas,7057,3973,https://en.msidb.org/s.php?7057,https://en.msidb.org/m.php?3973
Devasabhaathalam,His Highness Abdulla,1990,Aabhogi,Raveendran,Kaithapram,"KJ Yesudas, Raveendran, Sharreth",5492,4780,https://en.msidb.org/s.php?5492,https://en.msidb.org/m.php?4780
Devasabhaathalam,His Highness Abdulla,1990,Aabhogi,Raveendran,Kaithapram,"KJ Yesudas, MG Sreekumar, Sharreth",15450,4780,https://en.msidb.org/s.php?15450,https://en.msidb.org/m.php?4780
Kaanchana Thaamarappoomukham,Kadinjool Kalyaanam,1991,Aabhogi,Raveendran,Bichu Thirumala,"MG Sreekumar, Mini",11295,5022,https://en.msidb.org/s.php?11295,https://en.msidb.org/m.php?5022
Sumuhoorthamaay [Thrayambakam],Kamaladalam,1992,Aabhogi,Raveendran,Kaithapram,KJ Yesudas,190934,3791,https://en.msidb.org/s.php?190934,https://en.msidb.org/m.php?3791
Aalilamanjalil,Sooryagaayathri,1992,Aabhogi,Raveendran,ONV Kurup,"KJ Yesudas, KS Chithra",10371,727,https://en.msidb.org/s.php?10371,https://en.msidb.org/m.php?727
Aalilamanjalil [No BGM],Sooryagaayathri,1992,Aabhogi,Raveendran,ONV Kurup,"KJ Yesudas, KS Chithra",10373,727,https://en.msidb.org/s.php?10373,https://en.msidb.org/m.php?727
Aalilamanjalil(f),Sooryagaayathri,1992,Aabhogi,Raveendran,ONV Kurup,KS Chithra,10375,727,https://en.msidb.org/s.php?10375,https://en.msidb.org/m.php?727
Manchaadicheppil,Padaleeputhram,1993,Aabhogi,Raveendran,Bichu Thirumala,"Kallara Gopan, Sujatha Mohan",11589,3203,https://en.msidb.org/s.php?11589,https://en.msidb.org/m.php?3203
Kaathirippoo,Krishnagudiyil Oru Pranayakaalathu,1997,Aabhogi,Vidyasagar,Gireesh Puthenchery,"KJ Yesudas, KS Chithra",11415,413,https://en.msidb.org/s.php?11415,https://en.msidb.org/m.php?413
Iniyum paribhavam,Kaikkudanna Nilaavu,1998,Aabhogi,Kaithapram,Gireesh Puthenchery,"KJ Yesudas, KS Chithra",15198,82,https://en.msidb.org/s.php?15198,https://en.msidb.org/m.php?82
