ID,Name,Original_Name,Melakarta_No,Melakarta_Name,Chakra_No,Chakra_Name,Arohana,Avarohana,Scale_Type,Is_Bhashanga,Anya_Swaras,Is_Vakra,Extra_Note,Wikipedia_URL
"kanakambari","Kanakambari","Kanakāmbari",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' N1 D1 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/Kanakambari"
"kanakatodi","Kanakatodi","Kanakatodi",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' N1 D1 P M1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"madhavapriya","Madhavapriya","Mādhavapriyā",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 P D1 N1 S'","S' N1 D1 P G1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"karnataka-shuddha-saveri","Karnataka Shuddha Saveri","Karnātaka Shuddha Sāveri",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/Karnataka_Shuddha_Saveri"
"latantapriya","Latantapriya","Latantapriya",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' D1 P M1 R1 S","Shadava-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"lavangi","Lavangi","Lavangi",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 D1 S'","S' D1 M1 R1 S","Swarantara",No,"",Yes,"Raga created by M. Balamuralikrishna","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"megha","Megha","Megha",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 N1 D1 P S'","S' N1 D1 P M1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"rishabhavilasa","Rishabhavilasa","Rishabhavilāsa",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"sarvashree","Sarvashree","Sarvashree",1,"Kanakangi",1,"Indu (Moon)","S M1 P S'","S' P M1 S","Swarantara",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"suddha-mukhari","Suddha Mukhari","Suddha Mukhāri",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' N1 D1 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"tatillatika","Tatillatika","Tatillatika",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vageeshwari","Vageeshwari","Vāgeeshwari",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' D1 M1 P G1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"phenadhyuti","Phenadhyuti","Phenadhyuti",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P D1 P N2 S'","S' N2 D1 P M1 G1 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ganamukhari","Ganamukhari","Ganamukhāri",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 D1 S'","S' N2 D1 M1 R1 S","Swarantara-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ratnavarali","Ratnavarali","Ratnavarāli",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P N2 D1 S'","S' N2 P M1 R1 G1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"revati","Revati","Revati",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P N2 S'","S' N2 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/Revati_(raga)"
"shreemani","Shreemani","Shreemani",2,"Ratnangi",1,"Indu (Moon)","S R1 G1 P D1 S'","S' N2 D1 P G1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shreemati","Shreemati","Shreemati",2,"Ratnangi",1,"Indu (Moon)","S R1 G1 P D1 S'","S' N2 D1 P G1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"svadhya","Svadhya","Svadhya",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P N2 S'","S' N2 D1 P M1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/Svadhya"
"ganasamavarali","Ganasamavarali","Gānasāmavarāli",3,"Ganamurti",1,"Indu (Moon)","S R1 M1 P D1 N3 S'","S' N3 D1 P M1 G1 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhinnapanchamam","Bhinnapanchamam","Bhinnapanchamam",3,"Ganamurti",1,"Indu (Moon)","S R1 G1 M1 P D1 N3 S'","S' N3 D1 P M1 G1 R1 S","Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"nadharanjani","Nadharanjani","Nādharanjani",3,"Ganamurti",1,"Indu (Moon)","S R1 M1 D1 N3 S'","S' N3 D1 M1 G1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"poorvavarali","Poorvavarali","Poorvavarāli",3,"Ganamurti",1,"Indu (Moon)","S R1 M1 P D1 S'","S' N3 D1 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"samavarali","Samavarali","Sāmavarāli",3,"Ganamurti",1,"Indu (Moon)","S R1 M1 P D1 N3 S'","S' N3 D1 P M1 G1 R1 G1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhanumati","Bhanumati","Bhānumati",4,"Vanaspati",1,"Indu (Moon)","N2 S M1 P N2 S'","S' N2 D2 P M1 G2 R2 S","Swarantara-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"rasali","Rasali","Rasāli",4,"Vanaspati",1,"Indu (Moon)","S R1 M1 P D2 N2 S'","S' D2 P M1 R1 S","Shadava-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vanavali","Vanavali","Vanāvali",4,"Vanaspati",1,"Indu (Moon)","S R1 M1 P D2 N2 S'","S' D2 P M1 R1 S","Shadava-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vittalapriya","Vittalapriya","Vittalapriya",4,"Vanaspati",1,"Indu (Moon)","S R1 M1 P D2 S'","S' D2 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"manoranjani","Manoranjani","Manoranjani",5,"Manavati",1,"Indu (Moon)","S R1 M1 P D2 N3 S'","S' N3 D2 P M1 G1 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ghanashyamala","Ghanashyamala","Ghanashyāmalā",5,"Manavati",1,"Indu (Moon)","S G1 M1 P D2 S'","S' D2 N3 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
